     REPORTE CUENTAS CORRIENTES - PERIODO:

ID-CLI   NOMBRE                   APELLIDO                 SALDO-CTA
------------------------------------------------------------------------------------------------------------------------------------
22345679 CARLOS                    MENDOZA                       276,451.54
22345680 MARIA                     GARCIA                        208,466.84
22345681 PEDRO                     TORRES                        200,328.00
22345682 ANA                       LOPEZ                         263,714.75
22345701 LUIS_1                    ROCHA_1                       438,476.94
22345702 LUIS_2                    ROCHA_2                       205,802.80
22345703 LUIS_3                    ROCHA_3                       213,856.08
22345704 LUIS_4                    ROCHA_4                         5,251.00
22345705 LUIS_5                    ROCHA_5                         3,151.00
22345706 LUIS_6                    ROCHA_6                         5,251.00
22345707 LUIS_7                    ROCHA_7                         5,251.00
22345708 LUIS_8                    ROCHA_8                         5,251.00
22345709 LUIS_9                    ROCHA_9                         5,251.00
22345710 LUIS_10                   ROCHA_10                        5,251.00
22345711 LUIS_11                   ROCHA_11                        5,251.00
22345712 LUIS_12                   ROCHA_12                        5,251.00
22345713 LUIS_13                   ROCHA_13                        5,251.00
22345714 LUIS_14                   ROCHA_14                        5,251.00
22345715 LUIS_15                   ROCHA_15                        3,451.00
22345716 LUIS_16                   ROCHA_16                        5,251.00
22345717 LUIS_17                   ROCHA_17                        5,251.00
22345718 LUIS_18                   ROCHA_18                        5,251.00
22345719 LUIS_19                   ROCHA_19                        5,251.00
22345720 LUIS_20                   ROCHA_20                        5,251.00
22345721 LUIS_21                   ROCHA_21                        5,251.00
22345722 LUIS_22                   ROCHA_22                        5,251.00
22345723 LUIS_23                   ROCHA_23                        5,251.00
22345724 LUIS_24                   ROCHA_24                        5,251.00
22345725 LUIS_25                   ROCHA_25                        3,451.00
22345726 LUIS_26                   ROCHA_26                        5,251.00
22345727 LUIS_27                   ROCHA_27                        5,251.00
22345728 LUIS_28                   ROCHA_28                        5,251.00
22345729 LUIS_29                   ROCHA_29                        5,251.00
22345730 LUIS_30                   ROCHA_30                        5,251.00
22345731 LUIS_31                   ROCHA_31                        5,251.00
22345732 LUIS_32                   ROCHA_32                        5,251.00
22345733 LUIS_33                   ROCHA_33                        5,251.00
22345734 LUIS_34                   ROCHA_34                        5,251.00
22345735 LUIS_35                   ROCHA_35                        3,451.00
22345736 LUIS_36                   ROCHA_36                        5,251.00
22345737 LUIS_37                   ROCHA_37                        5,251.00
22345738 LUIS_38                   ROCHA_38                        5,251.00
22345739 LUIS_39                   ROCHA_39                        5,251.00
22345740 LUIS_40                   ROCHA_40                        5,251.00
22345741 LUIS_41                   ROCHA_41                        5,251.00
22345742 LUIS_42                   ROCHA_42                        5,251.00
22345743 LUIS_43                   ROCHA_43                        5,251.00
22345744 LUIS_44                   ROCHA_44                        5,251.00
22345745 LUIS_45                   ROCHA_45                        3,451.00
22345746 LUIS_46                   ROCHA_46                        5,482.03
22345747 LUIS_47                   ROCHA_47                        5,251.00
22345748 LUIS_48                   ROCHA_48                        5,251.00
