     REPORTE CLIENTES NUEVOS - PERIODO:

ID       NOMBRE                   APELLIDO                  FECHA-ALTA SALDO
------------------------------------------------------------------------------------------------------------------------------------
22346001 LORENZO_1                 PINTO_1                   2026-05-18       6,000.00
22346002 LORENZO_2                 PINTO_2                   2026-05-18       6,000.00
22346003 LORENZO_3                 PINTO_3                   2026-05-18       6,000.00
22346004 LORENZO_4                 PINTO_4                   2026-05-18       6,000.00
22346005 LORENZO_5                 PINTO_5                   2026-05-18       6,000.00
22346006 LORENZO_6                 PINTO_6                   2026-05-18       6,000.00
22346007 LORENZO_7                 PINTO_7                   2026-05-18       6,000.00
22346008 LORENZO_8                 PINTO_8                   2026-05-18       6,000.00
22346009 LORENZO_9                 PINTO_9                   2026-05-18       6,000.00
22346010 LORENZO_10                PINTO_10                  2026-05-18       6,000.00
22346011 LORENZO_11                PINTO_11                  2026-05-18       6,000.00
22346012 LORENZO_12                PINTO_12                  2026-05-18       6,000.00
22346013 LORENZO_13                PINTO_13                  2026-05-18       6,000.00
22346014 LORENZO_14                PINTO_14                  2026-05-18       6,000.00
22346015 LORENZO_15                PINTO_15                  2026-05-18       6,000.00
22346016 LORENZO_16                PINTO_16                  2026-05-18       6,000.00
22346017 LORENZO_17                PINTO_17                  2026-05-18       6,000.00
22346018 LORENZO_18                PINTO_18                  2026-05-18       6,000.00
22346019 LORENZO_19                PINTO_19                  2026-05-18       6,000.00
22346020 LORENZO_20                PINTO_20                  2026-05-18       6,000.00
22346021 LORENZO_21                PINTO_21                  2026-05-18       6,000.00
22346022 LORENZO_22                PINTO_22                  2026-05-18       6,000.00
22346023 LORENZO_23                PINTO_23                  2026-05-18       6,000.00
22346024 LORENZO_24                PINTO_24                  2026-05-18       6,000.00
22346025 LORENZO_25                PINTO_25                  2026-05-18       6,000.00
22346026 LORENZO_26                PINTO_26                  2026-05-18       6,000.00
22346027 LORENZO_27                PINTO_27                  2026-05-18       6,000.00
22346028 LORENZO_28                PINTO_28                  2026-05-18       6,000.00
22346029 LORENZO_29                PINTO_29                  2026-05-18       6,000.00
22346030 LORENZO_30                PINTO_30                  2026-05-18       6,000.00
22346031 LORENZO_31                PINTO_31                  2026-05-18       6,000.00
22346032 LORENZO_32                PINTO_32                  2026-05-18       6,000.00
22346033 LORENZO_33                PINTO_33                  2026-05-18       6,000.00
22346034 LORENZO_34                PINTO_34                  2026-05-18       6,000.00
22346035 LORENZO_35                PINTO_35                  2026-05-18       6,000.00
22346036 LORENZO_36                PINTO_36                  2026-05-18       6,000.00
22346037 LORENZO_37                PINTO_37                  2026-05-18       6,000.00
22346038 LORENZO_38                PINTO_38                  2026-05-18       6,000.00
22346039 LORENZO_39                PINTO_39                  2026-05-18       6,000.00
22346040 LORENZO_40                PINTO_40                  2026-05-18       6,000.00
22346041 LORENZO_41                PINTO_41                  2026-05-18       6,000.00
22346042 LORENZO_42                PINTO_42                  2026-05-18       6,000.00
22346043 LORENZO_43                PINTO_43                  2026-05-18       6,000.00
