     REPORTE TARJETAS - PERIODO:

ID-CLI   NOMBRE                   NRO-TARJETA     LIMITE       ACUM-MES     LIQUIDACION  E
------------------------------------------------------------------------------------------------------------------------------------
22345701 LUIS_1                    4555223400000001       3,000.00           0.00           0.00 A
22345702 LUIS_2                    4555223400000002       3,000.00           0.00           0.00 A
22345703 LUIS_3                    4555223400000003       3,000.00           0.00           0.00 A
22345704 LUIS_4                    4555223400000004       3,000.00           0.00           0.00 A
22345705 LUIS_5                    4555223400000005       3,000.00           0.00           0.00 A
22345706 LUIS_6                    4555223400000006       3,000.00           0.00           0.00 A
22345707 LUIS_7                    4555223400000007       3,000.00           0.00           0.00 A
22345708 LUIS_8                    4555223400000008       3,000.00           0.00           0.00 A
22345709 LUIS_9                    4555223400000009       3,000.00           0.00           0.00 A
22345710 LUIS_10                   4555223400000010       3,000.00           0.00           0.00 A
22345711 LUIS_11                   4555223400000011       3,000.00           0.00           0.00 A
22345712 LUIS_12                   4555223400000012       3,000.00           0.00           0.00 A
22345713 LUIS_13                   4555223400000013       3,000.00           0.00           0.00 A
22345714 LUIS_14                   4555223400000014       3,000.00           0.00           0.00 A
22345715 LUIS_15                   4555223400000015       3,000.00           0.00           0.00 A
22345716 LUIS_16                   4555223400000016       3,000.00           0.00           0.00 A
22345717 LUIS_17                   4555223400000017       3,000.00           0.00           0.00 A
22345718 LUIS_18                   4555223400000018       3,000.00           0.00           0.00 A
22345719 LUIS_19                   4555223400000019       3,000.00           0.00           0.00 A
22345720 LUIS_20                   4555223400000020       3,000.00           0.00           0.00 A
22345721 LUIS_21                   4555223400000021       3,000.00           0.00           0.00 A
22345722 LUIS_22                   4555223400000022       3,000.00           0.00           0.00 A
22345723 LUIS_23                   4555223400000023       3,000.00           0.00           0.00 A
22345724 LUIS_24                   4555223400000024       3,000.00           0.00           0.00 A
22345725 LUIS_25                   4555223400000025       3,000.00           0.00           0.00 A
22345726 LUIS_26                   4555223400000026       3,000.00           0.00           0.00 A
22345727 LUIS_27                   4555223400000027       3,000.00           0.00           0.00 A
22345728 LUIS_28                   4555223400000028       3,000.00           0.00           0.00 A
22345729 LUIS_29                   4555223400000029       3,000.00           0.00           0.00 A
22345730 LUIS_30                   4555223400000030       3,000.00           0.00           0.00 A
22345731 LUIS_31                   4555223400000031       3,000.00           0.00           0.00 A
22345732 LUIS_32                   4555223400000032       3,000.00           0.00           0.00 A
22345733 LUIS_33                   4555223400000033       3,000.00           0.00           0.00 A
22345734 LUIS_34                   4555223400000034       3,000.00           0.00           0.00 A
22345735 LUIS_35                   4555223400000035       3,000.00           0.00           0.00 A
22345736 LUIS_36                   4555223400000036       3,000.00           0.00           0.00 A
22345737 LUIS_37                   4555223400000037       3,000.00           0.00           0.00 A
22345738 LUIS_38                   4555223400000038       3,000.00           0.00           0.00 A
22345739 LUIS_39                   4555223400000039       3,000.00           0.00           0.00 A
22345740 LUIS_40                   4555223400000040       3,000.00           0.00           0.00 A
22345741 LUIS_41                   4555223400000041       3,000.00           0.00           0.00 A
22345742 LUIS_42                   4555223400000042       3,000.00           0.00           0.00 A
22345743 LUIS_43                   4555223400000043       3,000.00           0.00           0.00 A
22345744 LUIS_44                   4555223400000044       3,000.00           0.00           0.00 A
22345745 LUIS_45                   4555223400000045       3,000.00           0.00           0.00 A
22345746 LUIS_46                   4555223400000046       3,000.00           0.00           0.00 A
22345747 LUIS_47                   4555223400000047       3,000.00           0.00           0.00 A
22345748 LUIS_48                   4555223400000048       3,000.00           0.00           0.00 A
22345749 LUIS_49                   4555223400000049       3,000.00           0.00           0.00 A
22345750 LUIS_50                   4555223400000050       3,000.00           0.00           0.00 A
22345751 LUIS_51                   4555223400000051       3,000.00           0.00           0.00 A
22345752 LUIS_52                   4555223400000052       3,000.00           0.00           0.00 A
22345753 LUIS_53                   4555223400000053       3,000.00           0.00           0.00 A
22345754 LUIS_54                   4555223400000054       3,000.00           0.00           0.00 A
22345755 LUIS_55                   4555223400000055       3,000.00           0.00           0.00 A
22345756 LUIS_56                   4555223400000056       3,000.00           0.00           0.00 A
22345757 LUIS_57                   4555223400000057       3,000.00           0.00           0.00 A
22345758 LUIS_58                   4555223400000058       3,000.00           0.00           0.00 A
22345759 LUIS_59                   4555223400000059       3,000.00           0.00           0.00 A
22345760 LUIS_60                   4555223400000060       3,000.00           0.00           0.00 A
22345761 LUIS_61                   4555223400000061       3,000.00           0.00           0.00 A
22345762 LUIS_62                   4555223400000062       3,000.00           0.00           0.00 A
22345763 LUIS_63                   4555223400000063       3,000.00           0.00           0.00 A
22345764 LUIS_64                   4555223400000064       3,000.00           0.00           0.00 A
22345765 LUIS_65                   4555223400000065       3,000.00           0.00           0.00 A
22345766 LUIS_66                   4555223400000066       3,000.00           0.00           0.00 A
22345767 LUIS_67                   4555223400000067       3,000.00           0.00           0.00 A
22345768 LUIS_68                   4555223400000068       3,000.00           0.00           0.00 A
22345769 LUIS_69                   4555223400000069       3,000.00           0.00           0.00 A
22345770 LUIS_70                   4555223400000070       3,000.00           0.00           0.00 A
22345771 LUIS_71                   4555223400000071       3,000.00           0.00           0.00 A
22345772 LUIS_72                   4555223400000072       3,000.00           0.00           0.00 A
22345773 LUIS_73                   4555223400000073       3,000.00           0.00           0.00 A
22345774 LUIS_74                   4555223400000074       3,000.00           0.00           0.00 A
