     REPORTE HIPOTECAS - PERIODO:

ID-HIPOT  ID-CLI   NOMBRE                   MONTO-ORIG       SALDO-ACT        TASA    ESTADO
------------------------------------------------------------------------------------------------------------------------------------
000000015 22345679 CARLOS                             2,500.00          2,500.00   9.0000 ACTIVO
000000016 22345679 CARLOS                            27,000.00         26,638.66   9.0000 ACTIVO
000005001 22345701 LUIS_1                            85,000.00         85,000.00   4.2500 ACTIVO
000005002 22345702 LUIS_2                            85,000.00         85,000.00   4.2500 ACTIVO
000005003 22345703 LUIS_3                            85,000.00         83,880.00   4.2500 ACTIVO
000005004 22345704 LUIS_4                            85,000.00         85,000.00   4.2500 ACTIVO
000005005 22345705 LUIS_5                            85,000.00         85,000.00   4.2500 ACTIVO
000005006 22345706 LUIS_6                            85,000.00         85,000.00   4.2500 ACTIVO
000005007 22345707 LUIS_7                            85,000.00         85,000.00   4.2500 ACTIVO
000005008 22345708 LUIS_8                            85,000.00         85,000.00   4.2500 ACTIVO
000005009 22345709 LUIS_9                            85,000.00         85,000.00   4.2500 ACTIVO
000005010 22345710 LUIS_10                           85,000.00         85,000.00   4.2500 ACTIVO
000005011 22345711 LUIS_11                           85,000.00         85,000.00   4.2500 ACTIVO
000005012 22345712 LUIS_12                           85,000.00         85,000.00   4.2500 ACTIVO
000005013 22345713 LUIS_13                           85,000.00         85,000.00   4.2500 ACTIVO
000005014 22345714 LUIS_14                           85,000.00         85,000.00   4.2500 ACTIVO
000005015 22345715 LUIS_15                           85,000.00         85,000.00   4.2500 ACTIVO
000005016 22345716 LUIS_16                           85,000.00         85,000.00   4.2500 ACTIVO
000005017 22345717 LUIS_17                           85,000.00         85,000.00   4.2500 ACTIVO
000005018 22345718 LUIS_18                           85,000.00         85,000.00   4.2500 ACTIVO
000005019 22345719 LUIS_19                           85,000.00         85,000.00   4.2500 ACTIVO
000005020 22345720 LUIS_20                           85,000.00         85,000.00   4.2500 ACTIVO
000005021 22345721 LUIS_21                           85,000.00         85,000.00   4.2500 ACTIVO
000005022 22345722 LUIS_22                           85,000.00         85,000.00   4.2500 ACTIVO
000005023 22345723 LUIS_23                           85,000.00         85,000.00   4.2500 ACTIVO
000005024 22345724 LUIS_24                           85,000.00         85,000.00   4.2500 ACTIVO
000005025 22345725 LUIS_25                           85,000.00         85,000.00   4.2500 ACTIVO
000005026 22345726 LUIS_26                           85,000.00         85,000.00   4.2500 ACTIVO
000005027 22345727 LUIS_27                           85,000.00         85,000.00   4.2500 ACTIVO
000005028 22345728 LUIS_28                           85,000.00         85,000.00   4.2500 ACTIVO
000005029 22345729 LUIS_29                           85,000.00         85,000.00   4.2500 ACTIVO
000005030 22345730 LUIS_30                           85,000.00         85,000.00   4.2500 ACTIVO
000005031 22345731 LUIS_31                           85,000.00         85,000.00   4.2500 ACTIVO
000005032 22345732 LUIS_32                           85,000.00         85,000.00   4.2500 ACTIVO
000005033 22345733 LUIS_33                           85,000.00         85,000.00   4.2500 ACTIVO
000005034 22345734 LUIS_34                           85,000.00         85,000.00   4.2500 ACTIVO
000005035 22345735 LUIS_35                           85,000.00         85,000.00   4.2500 ACTIVO
000005036 22345736 LUIS_36                           85,000.00         85,000.00   4.2500 ACTIVO
000005037 22345737 LUIS_37                           85,000.00         85,000.00   4.2500 ACTIVO
000005038 22345738 LUIS_38                           85,000.00         85,000.00   4.2500 ACTIVO
